WATER_BODY,PSN,TARGET_LATITUDE,TARGET_LONGITUDE
LAKE SUPERIOR,170,47.337,-89.803
LAKE SUPERIOR,171,47.45,-89.921
LAKE SUPERIOR,177,47.7458,-90.235
LAKE SUPERIOR,180,47.467,-90.905
LAKE SUPERIOR,182,47.323,-90.7183
LAKE SUPERIOR,185,47.1,-90.463
LAKE SUPERIOR,189,46.845,-90.189
LAKE SUPERIOR,192,46.7,-90.032
LAKE SUPERIOR,196,46.748,-90.703
LAKE SUPERIOR,198,47.01,-90.983
LAKE SUPERIOR,2,46.543,-84.748
LAKE SUPERIOR,201,47.132,-91.112
LAKE SUPERIOR,208,46.938,-91.448
LAKE SUPERIOR,212,46.75,-91.675
LAKE SUPERIOR,216,46.907,-91.82
LAKE SUPERIOR,218,46.817,-91.885
LAKE SUPERIOR,22,46.968,-85.728
LAKE SUPERIOR,221,46.782,-92.054
LAKE SUPERIOR,23,47.213,-85.633
LAKE SUPERIOR,24,48.1522,-89.0236
LAKE SUPERIOR,25,47.455,-85.275
LAKE SUPERIOR,27,47.535,-85.15
LAKE SUPERIOR,28,47.585,-85.065
LAKE SUPERIOR,293,46.474,-84.46
LAKE SUPERIOR,3,46.6,-84.592
LAKE SUPERIOR,30,47.72,-85.139
LAKE SUPERIOR,31,47.918,-84.913
LAKE SUPERIOR,34,47.833,-85.208
LAKE SUPERIOR,35,47.932,-85.27
LAKE SUPERIOR,36,47.908,-85.737
LAKE SUPERIOR,38,47.807,-85.833
LAKE SUPERIOR,39,47.69,-85.967
LAKE SUPERIOR,4,46.7,-84.6
LAKE SUPERIOR,42,47.325,-86.372
LAKE SUPERIOR,43,47.08,-86.478
LAKE SUPERIOR,44,47.8944,-87.7997
LAKE SUPERIOR,45,46.857,-86.568
LAKE SUPERIOR,5,46.733,-84.793
LAKE SUPERIOR,50,46.508,-86.568
LAKE SUPERIOR,51,46.517,-87.337
LAKE SUPERIOR,532,47.1828,-91.2294
LAKE SUPERIOR,533,48.155,-89.0231
LAKE SUPERIOR,534,47.5425,-86.9994
LAKE SUPERIOR,535,46.715,-84.7867
LAKE SUPERIOR,536,48.3217,-89.0403
LAKE SUPERIOR,57,46.933,-87.305
LAKE SUPERIOR,59,47.159,-87.282
LAKE SUPERIOR,613,47.4828,-90.4542
LAKE SUPERIOR,614,47.6833,-89.9364
LAKE SUPERIOR,615,47.8,-88.7358
LAKE SUPERIOR,616,48.615,-87.8
LAKE SUPERIOR,617,48.4403,-86.7297
LAKE SUPERIOR,618,47.0847,-87.6661
LAKE SUPERIOR,619,47.9811,-86.6172
LAKE SUPERIOR,62,47.167,-87.643
LAKE SUPERIOR,620,47.8981,-86.7461
LAKE SUPERIOR,621,47.3594,-87.0069
LAKE SUPERIOR,622,47.2697,-86.8672
LAKE SUPERIOR,623,47.2686,-86.6172
LAKE SUPERIOR,624,46.9111,-86.8667
LAKE SUPERIOR,625,46.8106,-85.4317
LAKE SUPERIOR,626,47.3481,-84.8822
LAKE SUPERIOR,628,47.1817,-86.2189
LAKE SUPERIOR,629,47.805,-86.6158
LAKE SUPERIOR,630,47.4508,-86.0769
LAKE SUPERIOR,631,46.8167,-87.0003
LAKE SUPERIOR,632,47.6303,-85.4519
LAKE SUPERIOR,633,47.4483,-85.5503
LAKE SUPERIOR,634,46.905,-86.0819
LAKE SUPERIOR,635,47.1831,-86.9992
LAKE SUPERIOR,637,48.3469,-88.2103
LAKE SUPERIOR,638,46.993306,-85.16111
LAKE SUPERIOR,639,47.36056,-85.62056
LAKE SUPERIOR,640,46.894444,-85.85139
LAKE SUPERIOR,642,46.77472,-86.55556
LAKE SUPERIOR,643,48.55861,-86.37694
LAKE SUPERIOR,644,48.07417,-86.59139
LAKE SUPERIOR,645,47.60583,-86.81778
LAKE SUPERIOR,646,48.43667,-87.08611
LAKE SUPERIOR,647,47.51417,-87.54611
LAKE SUPERIOR,648,48.34361,-87.82528
LAKE SUPERIOR,649,47.85611,-88.04194
LAKE SUPERIOR,650,48.22972,-88.54444
LAKE SUPERIOR,651,47.740833,-88.7375
LAKE SUPERIOR,652,48.08275,-89.25333
LAKE SUPERIOR,653,47.62139,-89.46306
LAKE SUPERIOR,654,47.16444,-89.66194
LAKE SUPERIOR,655,47.51444,-90.15194
LAKE SUPERIOR,656,47.37028,-90.85389
LAKE SUPERIOR,68,47.017,-88.183
