WATER_BODY,PSN,STN_DATE,YEAR,SEASON,PARAMETER_CLASS,CODE,ABBREV,FULL_NAME,VALUE_REPORTED,UNITS_REPORTED,VALUE_MG_L,FLAG,DETECTION,DEPTH_FROM,DEPTH_TO,LATITUDE_DD,LONGITUDE_DD
GEORGIAN BAY,5,2000-05-08 12:51:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001500,MG P/L,0.0015,,0.00020000,1.00,.00,44.79667,-80.24333
GEORGIAN BAY,6,2000-05-08 16:05:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003700,MG P/L,0.0037,,0.00020000,1.00,.00,44.73667,-80.43444
GEORGIAN BAY,6,2000-05-08 16:05:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001400,MG P/L,0.0014,,0.00020000,1.00,.00,44.73667,-80.43444
GEORGIAN BAY,8,2000-05-08 09:35:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003300,MG P/L,0.0033,,0.00020000,1.00,.00,44.95278,-80.14861
GEORGIAN BAY,8,2000-05-08 09:35:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003700,MG P/L,0.0037,,0.00020000,1.00,.00,44.95278,-80.14861
GEORGIAN BAY,8,2000-05-08 09:35:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.000800,MG P/L,0.0008,,0.00020000,998.00,.00,44.95278,-80.14861
GEORGIAN BAY,8,2000-05-08 09:35:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.001400,MG P/L,0.0014,,0.00020000,999.00,.00,44.95278,-80.14861
GEORGIAN BAY,8,2000-05-08 09:35:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001400,MG P/L,0.0014,,0.00020000,1.00,.00,44.95278,-80.14861
GEORGIAN BAY,8,2000-05-08 09:35:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001500,MG P/L,0.0015,,0.00020000,1.00,.00,44.95278,-80.14861
GEORGIAN BAY,8,2000-05-08 09:35:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.000200,MG P/L,0.0002,<,0.00020000,998.00,.00,44.95278,-80.14861
GEORGIAN BAY,8,2000-05-08 09:35:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.000200,MG P/L,0.0002,<,0.00020000,999.00,.00,44.95278,-80.14861
GEORGIAN BAY,9,2000-05-08 10:40:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.005000,MG P/L,0.005,,0.00020000,1.00,.00,44.87194,-79.96806
GEORGIAN BAY,9,2000-05-08 10:40:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.002500,MG P/L,0.0025,,0.00020000,1.00,.00,44.87194,-79.96806
GEORGIAN BAY,1,2000-08-24 06:26:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003000,MG P/L,0.003,,0.00020000,1.00,.00,44.71806,-80.85583
GEORGIAN BAY,1,2000-08-24 06:26:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.002700,MG P/L,0.0027,,0.00020000,13.00,.00,44.71806,-80.85583
GEORGIAN BAY,1,2000-08-24 06:26:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.009700,MG P/L,0.0097,,0.00020000,18.00,.00,44.71806,-80.85583
GEORGIAN BAY,1,2000-08-24 06:26:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.004000,MG P/L,0.004,,0.00020000,38.00,.00,44.71806,-80.85583
GEORGIAN BAY,1,2000-08-24 06:26:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003400,MG P/L,0.0034,,0.00020000,52.50,.00,44.71806,-80.85583
GEORGIAN BAY,1,2000-08-24 06:26:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003800,MG P/L,0.0038,,0.00020000,87.00,.00,44.71806,-80.85583
GEORGIAN BAY,1,2000-08-24 06:26:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.002300,MG P/L,0.0023,,0.00020000,1.00,.00,44.71806,-80.85583
